method,regular_week_ms,selection_week_ms,exam_week_ms,vacation_ms,semester_start_ms
Static-3T,82 ± 3.5,285 ± 12.4,223 ± 9.8,31 ± 1.2,187 ± 8.5
LRU-Migrate,58 ± 2.0,152 ± 6.5,128 ± 5.2,28 ± 0.9,113 ± 4.8
ARC-Migrate,49 ± 1.7,121 ± 5.0,105 ± 4.1,25 ± 0.8,92 ± 3.9
RF-Migrate,38 ± 1.3,93 ± 3.8,87 ± 3.2,23 ± 0.7,75 ± 3.1
RF-Migrate+MSTP,33 ± 1.1,78 ± 3.1,72 ± 2.7,22 ± 0.6,62 ± 2.5
DQN-Base,32 ± 1.1,78 ± 3.0,69 ± 2.6,21 ± 0.6,62 ± 2.4
PPO,30 ± 1.0,75 ± 2.8,66 ± 2.4,20 ± 0.6,58 ± 2.3
DQN-MFD,27 ± 0.9,65 ± 2.4,58 ± 2.1,19 ± 0.5,51 ± 2.0
DQN-Full,23 ± 0.8,48 ± 1.8,42 ± 1.5,17 ± 0.4,35 ± 1.4
