method,avg_latency_ms,sla_compliance(%),storage_cost(x),migration_volume(GB/h),prewarming_hit_rate(%)
Static-3T,128 ± 3.2,87.3 ± 0.5,1.00,0,-
LRU-Migrate,75 ± 2.1,92.1 ± 0.4,0.93,4.2 ± 0.15,45.2 ± 1.3
ARC-Migrate,63 ± 1.8,94.5 ± 0.3,0.89,3.8 ± 0.12,51.8 ± 1.1
RF-Migrate,51 ± 1.5,96.2 ± 0.3,0.84,3.5 ± 0.10,62.3 ± 1.0
RF-Migrate+MSTP,44 ± 1.3,97.4 ± 0.2,0.82,3.2 ± 0.09,71.8 ± 0.9
DQN-Base,45 ± 1.4,97.1 ± 0.3,0.81,3.0 ± 0.08,68.7 ± 1.0
PPO,42 ± 1.3,97.6 ± 0.2,0.80,2.8 ± 0.08,72.1 ± 0.9
DQN-MFD,39 ± 1.1,98.3 ± 0.2,0.78,2.7 ± 0.07,76.5 ± 0.8
DQN-Full,37 ± 1.0,99.1 ± 0.1,0.76,2.4 ± 0.06,85.3 ± 0.7
